Date,Close,Predictions
2024-01-16,183.6300048828125,202.26614
2024-01-17,182.67999267578125,202.23402
2024-01-18,188.6300048828125,201.94742
2024-01-19,191.55999755859375,202.38042
2024-01-22,193.88999938964844,203.48447
2024-01-23,195.17999267578125,205.10216
2024-01-24,194.5,206.94168
2024-01-25,194.1699981689453,208.55292
2024-01-26,192.4199981689453,209.78963
2024-01-29,191.72999572753906,210.42067
2024-01-30,188.0399932861328,210.5631
2024-01-31,184.39999389648438,209.9201
2024-02-01,186.86000061035156,208.476
2024-02-02,185.85000610351562,207.16086
2024-02-05,187.67999267578125,205.91881
2024-02-06,189.3000030517578,205.14525
2024-02-07,189.41000366210938,204.93318
2024-02-08,188.32000732421875,205.0574
2024-02-09,188.85000610351562,205.20177
2024-02-12,187.14999389648438,205.42441
2024-02-13,185.0399932861328,205.41985
2024-02-14,184.14999389648438,205.0198
2024-02-15,183.86000061035156,204.35397
2024-02-16,182.30999755859375,203.59576
2024-02-20,181.55999755859375,202.6732
2024-02-21,182.32000732421875,201.69278
2024-02-22,184.3699951171875,200.91777
2024-02-23,182.52000427246094,200.62704
2024-02-26,181.16000366210938,200.36267
2024-02-27,182.6300048828125,199.98082
2024-02-28,181.4199981689453,199.79765
2024-02-29,180.75,199.5616
2024-03-01,179.66000366210938,199.2468
2024-03-04,175.10000610351562,198.78398
2024-03-05,170.1199951171875,197.6826
2024-03-06,169.1199951171875,195.73552
2024-03-07,169.0,193.48338
2024-03-08,170.72999572753906,191.3383
2024-03-11,172.75,189.76044
2024-03-12,173.22999572753906,188.95415
2024-03-13,171.1300048828125,188.72191
2024-03-14,173.0,188.54242
2024-03-15,172.6199951171875,188.6891
2024-03-18,173.72000122070312,188.91982
2024-03-19,176.0800018310547,189.31783
2024-03-20,178.6699981689453,190.06493
2024-03-21,171.3699951171875,191.23679
2024-03-22,172.27999877929688,191.4603
2024-03-25,170.85000610351562,191.33052
2024-03-26,169.7100067138672,190.81006
2024-03-27,173.30999755859375,189.9974
2024-03-28,171.47999572753906,189.63116
2024-04-01,170.02999877929688,189.26994
2024-04-02,168.83999633789062,188.78024
2024-04-03,169.64999389648438,188.1332
2024-04-04,168.82000732421875,187.60387
2024-04-05,169.5800018310547,187.08406
2024-04-08,168.4499969482422,186.74829
2024-04-09,169.6699981689453,186.39359
2024-04-10,167.77999877929688,186.25165
2024-04-11,175.0399932861328,185.97237
2024-04-12,176.5500030517578,186.6666
2024-04-15,172.69000244140625,187.9437
2024-04-16,169.3800048828125,188.83624
2024-04-17,168.0,188.98566
2024-04-18,167.0399932861328,188.54587
2024-04-19,165.0,187.71577
2024-04-22,165.83999633789062,186.50449
2024-04-23,166.89999389648438,185.37178
2024-04-24,169.02000427246094,184.56293
2024-04-25,169.88999938964844,184.31761
2024-04-26,169.3000030517578,184.51558
2024-04-29,173.5,184.84554
2024-04-30,170.3300018310547,185.78818
2024-05-01,169.3000030517578,186.47089
2024-05-02,173.02999877929688,186.8127
2024-05-03,183.3800048828125,187.44104
2024-05-06,181.7100067138672,189.53032
2024-05-07,182.39999389648438,191.82588
2024-05-08,182.74000549316406,194.05582
2024-05-09,184.57000732421875,195.99982
2024-05-10,183.0500030517578,197.78323
2024-05-13,186.27999877929688,199.01965
2024-05-14,187.42999267578125,200.25975
2024-05-15,189.72000122070312,201.46692
2024-05-16,189.83999633789062,202.80833
2024-05-17,189.8699951171875,204.04634
2024-05-20,191.0399932861328,205.07642
2024-05-21,192.35000610351562,206.0251
2024-05-22,190.89999389648438,206.9784
2024-05-23,186.8800048828125,207.60178
2024-05-24,189.97999572753906,207.43384
2024-05-28,189.99000549316406,207.33206
2024-05-29,190.2899932861328,207.24734
2024-05-30,191.2899932861328,207.23106
2024-05-31,192.25,207.39362
2024-06-03,194.02999877929688,207.75813
2024-06-04,194.35000610351562,208.42401
2024-06-05,195.8699951171875,209.19516
2024-06-06,194.47999572753906,210.13246
2024-06-07,196.88999938964844,210.83107
2024-06-10,193.1199951171875,211.65855
2024-06-11,207.14999389648438,211.90106
2024-06-12,213.07000732421875,213.77203
2024-06-13,214.24000549316406,216.93488
2024-06-14,212.49000549316406,220.48436
2024-06-17,216.6699981689453,223.52213
2024-06-18,214.2899932861328,226.47844
2024-06-20,209.67999267578125,228.61357
2024-06-21,207.49000549316406,229.41977
2024-06-24,208.13999938964844,229.16132
2024-06-25,209.07000732421875,228.47963
2024-06-26,213.25,227.78078
2024-06-27,214.10000610351562,227.7341
2024-06-28,210.6199951171875,228.11746
2024-07-01,216.75,228.20448
2024-07-02,220.27000427246094,229.01692
2024-07-03,221.5500030517578,230.52077
2024-07-05,226.33999633789062,232.33711
2024-07-08,227.82000732421875,234.72949
2024-07-09,228.67999267578125,237.25478
2024-07-10,232.97999572753906,239.61545
2024-07-11,227.57000732421875,242.15248
2024-07-12,230.5399932861328,243.63713
2024-07-15,234.39999389648438,244.84726
2024-07-16,234.82000732421875,246.23256
2024-07-17,228.8800048828125,247.53104
2024-07-18,224.17999267578125,247.7916
